symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
HRB,2010-04-30,2010,17.8,0.0,0.0,1804045000.0,0.0,-1804045000.0
IPG,2013-12-31,2013,16.57,4.211E8,6977627000.0,1636800000.0,1483400000.0,6824227000.0
IPG,2012-12-31,2012,12.04,4.325E8,5207300000.0,2574800000.0,2277400000.0,4909900000.0
IPG,2011-12-31,2011,10.45,4.655E8,4864475000.0,2302700000.0,1615700000.0,4177475000.0
IPG,2010-12-31,2010,10.72,4.736E8,5076992000.0,2675700000.0,1622200000.0,4023492000.0
IPG,2009-12-31,2009,6.46,4.86118123E8,3140323074.58,2495200000.0,1946600000.0,2591723074.58
NYT,2013-12-29,2013,14.61,1.49755E8,2187920550.0,482745000.0,684142000.0,2389317550.0
NYT,2012-12-30,2012,8.9,1.48147E8,1318508300.0,820489000.0,697078000.0,1195097300.0
NYT,2011-12-25,2011,7.95,1.4719E8,1170160500.0,175151000.0,773140000.0,1768149500.0
NYT,2010-12-26,2010,10.49,1.45636E8,1527721640.0,369668000.0,996405000.0,2154458640.0
NYT,2009-12-27,2009,13.02,1.44539993E8,1881910708.86,36520000.0,769176000.0,2614566708.8599997
TV,2013-12-31,2013,29.98,2.55978181927323E10,767422589418.1144,1565088086.4765,5042374348.359401,770899875679.9973
TV,2012-12-31,2012,23.6,2.55098012851966E10,602031310330.6399,1879770316.1141,4468972166.538199,604620512181.064
TV,2011-12-31,2011,20.42,2.32941335846055E10,475666207797.64435,1555112663.9432,4052785852.5049,478163880986.20605
TV,2010-12-31,2010,24.05,2.64428791624242E10,635951243856.302,2536514828.2828,3852765575.7576,637267494603.7767
TV,2009-12-31,2009,21.07,2.50681499294656E10,528185919013.84015,2965178167.9389,3421217022.9007998,528641957868.80206
SEE,2013-12-31,2013,31.39,1.946E8,6108494000.0,992400000.0,4317900000.0,9433994000.0
SEE,2012-12-31,2012,18.66,1.928E8,3597648000.0,679600000.0,4542600000.0,7460648000.0
SEE,2011-12-31,2011,19.57,1.67E8,3268190000.0,722800000.0,5012800000.0,7558190000.0
SEE,2010-12-31,2010,26.64,1.583E8,4217112000.0,675600000.0,1405700000.0,4947212000.0
